Project ID,Client,Business Unit,Activity,Entity,Geography,Commercial Lead,Stage,Start Date,End Date,Month,Year,Revenue,Currency,New/Existing,Weighted %,Weighted Pipeline
P00596_1,Solaris Energy,Payroll Advisory,HR,Nexum EMEA,Germany,Luisa Meier,Won,01/01/2025,31/01/2025,1,2025,27061.82,EUR,New Business,,
P00612_1,Xero Dynamics,HR Compliance,HR,Nexum EMEA,Germany,Luisa Meier,Won,01/01/2025,31/01/2025,1,2025,23833.94,EUR,New Business,,
P00628_1,Bergmann GmbH,CFO Advisory,Finance,Nexum EMEA,Germany,Luisa Meier,Won,01/01/2025,31/01/2025,1,2025,84243.31,EUR,New Business,,
P00647_1,Kessler Industries,Financial Planning,Finance,Nexum EMEA,Germany,Stefan Krause,Won,01/01/2025,31/01/2025,1,2025,35675.71,EUR,New Business,,
P00663_1,Rhein Partners,Tax Optimization,Finance,Nexum EMEA,Germany,Luisa Meier,Won,01/01/2025,31/01/2025,1,2025,35581.09,EUR,New Business,,
P00679_1,Fischer & Weber,M&A Support,Finance,Nexum EMEA,Germany,Tom Becker,Won,01/01/2025,31/01/2025,1,2025,36200.49,EUR,New Business,,
P00696_1,Steinberg Digital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Won,01/01/2025,31/01/2025,1,2025,46491.2,EUR,New Business,,
P00713_1,Müller & Partner,Brand Strategy,Marketing,Nexum EMEA,Germany,Stefan Krause,Won,01/01/2025,31/01/2025,1,2025,30456.11,EUR,New Business,,
P00729_1,Heinz Group,Digital Marketing,Marketing,Nexum EMEA,Germany,Tom Becker,Won,01/01/2025,31/01/2025,1,2025,33733.77,EUR,New Business,,
P00745_1,Dortmund Services,Market Research,Marketing,Nexum EMEA,Germany,Tom Becker,Won,01/01/2025,31/01/2025,1,2025,24731.64,EUR,New Business,,
P00761_1,Bremen Digital,Sales Enablement,Marketing,Nexum EMEA,Germany,Tom Becker,Won,01/01/2025,31/01/2025,1,2025,26150.76,EUR,New Business,,
P00777_1,Hannover Capital,Customer Experience,Marketing,Nexum EMEA,Germany,Luisa Meier,Won,01/01/2025,31/01/2025,1,2025,51616.18,EUR,New Business,,
P01071_1,Cedar Group,Recruitment,HR,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,21209.4,EUR,New Business,,
P01087_1,Harbourside Hotels,Training & Development,HR,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,23562.07,EUR,New Business,,
P01103_1,Meridian Healthcare,HR Transformation,HR,Nexum EMEA,France,Laura Dupont,Won,01/01/2025,31/01/2025,1,2025,28133.62,EUR,New Business,,
P01119_1,Thornton Pharma,Payroll Advisory,HR,Nexum EMEA,France,Pierre Moreau,Won,01/01/2025,31/01/2025,1,2025,23440.96,EUR,New Business,,
P01135_1,Lumière Retail,HR Compliance,HR,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,15214.52,EUR,New Business,,
P01151_1,Dupont Finances,CFO Advisory,Finance,Nexum EMEA,France,Pierre Moreau,Won,01/01/2025,31/01/2025,1,2025,67863.16,EUR,New Business,,
P01170_1,Girard & Associés,Financial Planning,Finance,Nexum EMEA,France,Laura Dupont,Won,01/01/2025,31/01/2025,1,2025,48025.11,EUR,New Business,,
P01187_1,Marceau Logistics,Tax Optimization,Finance,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,36931.91,EUR,New Business,,
P01203_1,Beaumont Digital,M&A Support,Finance,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,58593.4,EUR,New Business,,
P01222_1,Fontaine Capital,Accounting Transformation,Finance,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,45105.44,EUR,New Business,,
P01239_1,Leclerc Associés,Brand Strategy,Marketing,Nexum EMEA,France,Pierre Moreau,Won,01/01/2025,31/01/2025,1,2025,26598.72,EUR,New Business,,
P01255_1,Renaud Capital,Digital Marketing,Marketing,Nexum EMEA,France,Laura Dupont,Won,01/01/2025,31/01/2025,1,2025,28386.9,EUR,New Business,,
P01271_1,Chevalier & Fils,Market Research,Marketing,Nexum EMEA,France,Camille Roussel,Won,01/01/2025,31/01/2025,1,2025,19349.78,EUR,New Business,,
P01287_1,Normandie Digital,Sales Enablement,Marketing,Nexum EMEA,France,Laura Dupont,Won,01/01/2025,31/01/2025,1,2025,19457.58,EUR,New Business,,
P01303_1,Bordeaux Finance,Customer Experience,Marketing,Nexum EMEA,France,Pierre Moreau,Won,01/01/2025,31/01/2025,1,2025,40439.29,EUR,New Business,,
P01600_1,Ergo Solutions,Recruitment,HR,Nexum EMEA,Italy,Michael Chen,Won,01/01/2025,31/01/2025,1,2025,9996.0,EUR,New Business,,
P01615_1,Kendall & Partners,Training & Development,HR,Nexum EMEA,Italy,Giulia Romano,Won,01/01/2025,31/01/2025,1,2025,10396.03,EUR,New Business,,
P01630_1,Pinnacle Exports,HR Transformation,HR,Nexum EMEA,Italy,Giulia Romano,Won,01/01/2025,31/01/2025,1,2025,17115.49,EUR,New Business,,
P01645_1,Yardarm Shipping,Payroll Advisory,HR,Nexum EMEA,Italy,Marco Bellini,Won,01/01/2025,31/01/2025,1,2025,9144.58,EUR,New Business,,
P01660_1,Milano Ventures,HR Compliance,HR,Nexum EMEA,Italy,Marco Bellini,Won,01/01/2025,31/01/2025,1,2025,5201.64,EUR,New Business,,
P01675_1,Rossi & Figli,CFO Advisory,Finance,Nexum EMEA,Italy,Michael Chen,Won,01/01/2025,31/01/2025,1,2025,22008.54,EUR,New Business,,
P01691_1,Torino Digital,Financial Planning,Finance,Nexum EMEA,Italy,Marco Bellini,Won,01/01/2025,31/01/2025,1,2025,12790.03,EUR,New Business,,
P01706_1,Firenze Consulting,Tax Optimization,Finance,Nexum EMEA,Italy,Giulia Romano,Won,01/01/2025,31/01/2025,1,2025,12661.71,EUR,New Business,,
P01721_1,Napoli Ventures,M&A Support,Finance,Nexum EMEA,Italy,Giulia Romano,Won,01/01/2025,31/01/2025,1,2025,21818.49,EUR,New Business,,
P01737_1,Venezia Digital,Accounting Transformation,Finance,Nexum EMEA,Italy,Michael Chen,Won,01/01/2025,31/01/2025,1,2025,20989.26,EUR,New Business,,
P01753_1,Ergo Solutions,Brand Strategy,Marketing,Nexum EMEA,Italy,Michael Chen,Won,01/01/2025,31/01/2025,1,2025,10186.86,EUR,Existing Business,,
P01768_1,Kendall & Partners,Digital Marketing,Marketing,Nexum EMEA,Italy,Marco Bellini,Won,01/01/2025,31/01/2025,1,2025,10542.21,EUR,Existing Business,,
P01783_1,Pinnacle Exports,Market Research,Marketing,Nexum EMEA,Italy,Giulia Romano,Won,01/01/2025,31/01/2025,1,2025,9506.34,EUR,Existing Business,,
P01798_1,Yardarm Shipping,Sales Enablement,Marketing,Nexum EMEA,Italy,Michael Chen,Won,01/01/2025,31/01/2025,1,2025,10399.56,EUR,Existing Business,,
P01813_1,Milano Ventures,Customer Experience,Marketing,Nexum EMEA,Italy,Michael Chen,Won,01/01/2025,31/01/2025,1,2025,15940.41,EUR,Existing Business,,
P02086_1,Albatross Foods,Recruitment,HR,Nexum Iberia,Spain,Carlos Vega,Won,01/01/2025,31/01/2025,1,2025,17485.45,EUR,New Business,,
P02101_1,Greenvale Retail,Training & Development,HR,Nexum Iberia,Spain,Sarah Mitchell,Won,01/01/2025,31/01/2025,1,2025,17760.05,EUR,New Business,,
P02116_1,Larchwood Services,HR Transformation,HR,Nexum Iberia,Spain,Carlos Vega,Won,01/01/2025,31/01/2025,1,2025,42338.44,EUR,New Business,,
P02132_1,Uniform Industries,Payroll Advisory,HR,Nexum Iberia,Spain,Carlos Vega,Won,01/01/2025,31/01/2025,1,2025,17921.13,EUR,New Business,,
P02147_1,Iberia Ventures,HR Compliance,HR,Nexum Iberia,Spain,Marta Iglesias,Won,01/01/2025,31/01/2025,1,2025,17140.62,EUR,New Business,,
P02162_1,Castillo & Partners,CFO Advisory,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,01/01/2025,31/01/2025,1,2025,50287.37,EUR,New Business,,
P02179_1,Montserrat Group,Financial Planning,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,01/01/2025,31/01/2025,1,2025,30571.07,EUR,New Business,,
P02195_1,Nexo Digital,Tax Optimization,Finance,Nexum Iberia,Spain,Sarah Mitchell,Won,01/01/2025,31/01/2025,1,2025,23948.12,EUR,New Business,,
P02211_1,Solano Industries,M&A Support,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,01/01/2025,31/01/2025,1,2025,51716.2,EUR,New Business,,
P02228_1,Verdana Holdings,Accounting Transformation,Finance,Nexum Iberia,Spain,Carlos Vega,Won,01/01/2025,31/01/2025,1,2025,22394.17,EUR,New Business,,
P02244_1,Sevilla Capital,Brand Strategy,Marketing,Nexum Iberia,Spain,Sarah Mitchell,Won,01/01/2025,31/01/2025,1,2025,20764.39,EUR,New Business,,
P02260_1,Barcelona Ventures,Digital Marketing,Marketing,Nexum Iberia,Spain,Marta Iglesias,Won,01/01/2025,31/01/2025,1,2025,23697.14,EUR,New Business,,
P02276_1,Madrid Consulting,Market Research,Marketing,Nexum Iberia,Spain,Sarah Mitchell,Won,01/01/2025,31/01/2025,1,2025,15195.93,EUR,New Business,,
P02291_1,Valencia Group,Sales Enablement,Marketing,Nexum Iberia,Spain,Sarah Mitchell,Won,01/01/2025,31/01/2025,1,2025,23980.38,EUR,New Business,,
P02307_1,Bilbao Partners,Customer Experience,Marketing,Nexum Iberia,Spain,Sarah Mitchell,Won,01/01/2025,31/01/2025,1,2025,27321.37,EUR,New Business,,
P00591_1,Kessler Industries,HR Transformation,HR,Nexum EMEA,Germany,Tom Becker,Won,07/01/2025,19/04/2025,1,2025,36049.37,EUR,Existing Business,,
P00591_1,Kessler Industries,HR Transformation,HR,Nexum EMEA,Germany,Tom Becker,Won,07/01/2025,19/04/2025,2,2025,39120.31,EUR,Existing Business,,
P00591_1,Kessler Industries,HR Transformation,HR,Nexum EMEA,Germany,Tom Becker,Won,07/01/2025,19/04/2025,3,2025,42719.38,EUR,Existing Business,,
P00591_1,Kessler Industries,HR Transformation,HR,Nexum EMEA,Germany,Tom Becker,Won,07/01/2025,19/04/2025,4,2025,28205.74,EUR,Existing Business,,
P00692_1,Steinberg Digital,M&A Support,Finance,Nexum EMEA,Germany,Luisa Meier,Won,09/01/2025,17/04/2025,1,2025,29694.29,EUR,Existing Business,,
P00692_1,Steinberg Digital,M&A Support,Finance,Nexum EMEA,Germany,Luisa Meier,Won,09/01/2025,17/04/2025,2,2025,36014.91,EUR,Existing Business,,
P00692_1,Steinberg Digital,M&A Support,Finance,Nexum EMEA,Germany,Luisa Meier,Won,09/01/2025,17/04/2025,3,2025,39328.28,EUR,Existing Business,,
P00692_1,Steinberg Digital,M&A Support,Finance,Nexum EMEA,Germany,Luisa Meier,Won,09/01/2025,17/04/2025,4,2025,24111.98,EUR,Existing Business,,
P00789_1,Bremen Digital,Customer Experience,Marketing,Nexum EMEA,Germany,Tom Becker,Lost,09/01/2025,28/03/2025,1,2025,12042.57,EUR,Existing Business,,
P00789_1,Bremen Digital,Customer Experience,Marketing,Nexum EMEA,Germany,Tom Becker,Lost,09/01/2025,28/03/2025,2,2025,14605.9,EUR,Existing Business,,
P00789_1,Bremen Digital,Customer Experience,Marketing,Nexum EMEA,Germany,Tom Becker,Lost,09/01/2025,28/03/2025,3,2025,15190.14,EUR,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,1,2025,25640.16,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,2,2025,35244.21,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,3,2025,38486.68,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,4,2025,39931.69,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,5,2025,39931.69,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,6,2025,37006.42,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,7,2025,37288.37,GBP,Existing Business,,
P00100_1,Quorum Staffing,CFO Advisory,Finance,Nexum UK,UK,Oliver Hayes,Won,11/01/2025,09/08/2025,8,2025,8987.27,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,1,2025,10054.23,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,2,2025,13820.25,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,3,2025,15091.72,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,4,2025,15658.35,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,5,2025,15658.35,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,6,2025,14511.27,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,7,2025,14621.83,GBP,Existing Business,,
P00100_2,Quorum Staffing,Customer Experience,Marketing,Nexum UK,UK,Emma Clarke,Won,11/01/2025,09/08/2025,8,2025,3524.16,GBP,Existing Business,,
P00204_1,Devlin & Sons,Digital Marketing,Marketing,Nexum UK,UK,James Thornton,Lost,12/01/2025,10/04/2025,1,2025,12464.63,GBP,Existing Business,,
P00204_1,Devlin & Sons,Digital Marketing,Marketing,Nexum UK,UK,James Thornton,Lost,12/01/2025,10/04/2025,2,2025,17133.52,GBP,Existing Business,,
P00204_1,Devlin & Sons,Digital Marketing,Marketing,Nexum UK,UK,James Thornton,Lost,12/01/2025,10/04/2025,3,2025,18709.8,GBP,Existing Business,,
P00204_1,Devlin & Sons,Digital Marketing,Marketing,Nexum UK,UK,James Thornton,Lost,12/01/2025,10/04/2025,4,2025,7059.01,GBP,Existing Business,,
P00712_1,Hannover Capital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Lost,15/01/2025,26/06/2025,1,2025,4858.03,EUR,Existing Business,,
P00712_1,Hannover Capital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Lost,15/01/2025,26/06/2025,2,2025,7705.05,EUR,Existing Business,,
P00712_1,Hannover Capital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Lost,15/01/2025,26/06/2025,3,2025,8413.91,EUR,Existing Business,,
P00712_1,Hannover Capital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Lost,15/01/2025,26/06/2025,4,2025,8729.82,EUR,Existing Business,,
P00712_1,Hannover Capital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Lost,15/01/2025,26/06/2025,5,2025,8729.82,EUR,Existing Business,,
P00712_1,Hannover Capital,Accounting Transformation,Finance,Nexum EMEA,Germany,Tom Becker,Lost,15/01/2025,26/06/2025,6,2025,7319.8,EUR,Existing Business,,
P00578_1,Hannover Capital,Training & Development,HR,Nexum EMEA,Germany,Tom Becker,Lost,17/01/2025,19/02/2025,1,2025,29957.17,EUR,Existing Business,,
P00578_1,Hannover Capital,Training & Development,HR,Nexum EMEA,Germany,Tom Becker,Lost,17/01/2025,19/02/2025,2,2025,36498.89,EUR,Existing Business,,
P02242_1,Uniform Industries,Accounting Transformation,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,18/01/2025,23/06/2025,1,2025,11464.07,EUR,Existing Business,,
P02242_1,Uniform Industries,Accounting Transformation,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,18/01/2025,23/06/2025,2,2025,23637.25,EUR,Existing Business,,
P02242_1,Uniform Industries,Accounting Transformation,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,18/01/2025,23/06/2025,3,2025,25811.88,EUR,Existing Business,,
P02242_1,Uniform Industries,Accounting Transformation,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,18/01/2025,23/06/2025,4,2025,26781.0,EUR,Existing Business,,
P02242_1,Uniform Industries,Accounting Transformation,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,18/01/2025,23/06/2025,5,2025,26781.0,EUR,Existing Business,,
P02242_1,Uniform Industries,Accounting Transformation,Finance,Nexum Iberia,Spain,Marta Iglesias,Won,18/01/2025,23/06/2025,6,2025,18909.8,EUR,Existing Business,,
P02242_2,Uniform Industries,Digital Marketing,Marketing,Nexum Iberia,Spain,Carlos Vega,Won,18/01/2025,23/06/2025,1,2025,4112.87,EUR,Existing Business,,
P02242_2,Uniform Industries,Digital Marketing,Marketing,Nexum Iberia,Spain,Carlos Vega,Won,18/01/2025,23/06/2025,2,2025,8480.15,EUR,Existing Business,,
P02242_2,Uniform Industries,Digital Marketing,Marketing,Nexum Iberia,Spain,Carlos Vega,Won,18/01/2025,23/06/2025,3,2025,9260.32,EUR,Existing Business,,
P02242_2,Uniform Industries,Digital Marketing,Marketing,Nexum Iberia,Spain,Carlos Vega,Won,18/01/2025,23/06/2025,4,2025,9608.01,EUR,Existing Business,,
P02242_2,Uniform Industries,Digital Marketing,Marketing,Nexum Iberia,Spain,Carlos Vega,Won,18/01/2025,23/06/2025,5,2025,9608.01,EUR,Existing Business,,
P02242_2,Uniform Industries,Digital Marketing,Marketing,Nexum Iberia,Spain,Carlos Vega,Won,18/01/2025,23/06/2025,6,2025,6784.12,EUR,Existing Business,,
P01117_1,Cedar Group,HR Transformation,HR,Nexum EMEA,France,Pierre Moreau,Won,21/01/2025,06/05/2025,1,2025,11196.74,EUR,Existing Business,,
P01117_1,Cedar Group,HR Transformation,HR,Nexum EMEA,France,Pierre Moreau,Won,21/01/2025,06/05/2025,2,2025,25651.17,EUR,Existing Business,,
P01117_1,Cedar Group,HR Transformation,HR,Nexum EMEA,France,Pierre Moreau,Won,21/01/2025,06/05/2025,3,2025,28011.08,EUR,Existing Business,,
P01117_1,Cedar Group,HR Transformation,HR,Nexum EMEA,France,Pierre Moreau,Won,21/01/2025,06/05/2025,4,2025,29062.78,EUR,Existing Business,,
P01117_1,Cedar Group,HR Transformation,HR,Nexum EMEA,France,Pierre Moreau,Won,21/01/2025,06/05/2025,5,2025,5284.14,EUR,Existing Business,,
P01117_2,Cedar Group,HR Compliance,HR,Nexum EMEA,France,Camille Roussel,Won,21/01/2025,06/05/2025,1,2025,5894.64,EUR,Existing Business,,
P01117_2,Cedar Group,HR Compliance,HR,Nexum EMEA,France,Camille Roussel,Won,21/01/2025,06/05/2025,2,2025,13504.34,EUR,Existing Business,,
P01117_2,Cedar Group,HR Compliance,HR,Nexum EMEA,France,Camille Roussel,Won,21/01/2025,06/05/2025,3,2025,14746.73,EUR,Existing Business,,
P01117_2,Cedar Group,HR Compliance,HR,Nexum EMEA,France,Camille Roussel,Won,21/01/2025,06/05/2025,4,2025,15300.41,EUR,Existing Business,,
P01117_2,Cedar Group,HR Compliance,HR,Nexum EMEA,France,Camille Roussel,Won,21/01/2025,06/05/2025,5,2025,2781.89,EUR,Existing Business,,
P01673_1,Yardarm Shipping,HR Compliance,HR,Nexum EMEA,Italy,Michael Chen,Won,25/01/2025,02/03/2025,1,2025,4858.98,EUR,Existing Business,,
P01673_1,Yardarm Shipping,HR Compliance,HR,Nexum EMEA,Italy,Michael Chen,Won,25/01/2025,02/03/2025,2,2025,20037.04,EUR,Existing Business,,
P01673_1,Yardarm Shipping,HR Compliance,HR,Nexum EMEA,Italy,Michael Chen,Won,25/01/2025,02/03/2025,3,2025,1041.93,EUR,Existing Business,,
P01673_2,Yardarm Shipping,Payroll Advisory,HR,Nexum EMEA,Italy,Giulia Romano,Won,25/01/2025,02/03/2025,1,2025,1127.41,EUR,Existing Business,,
P01673_2,Yardarm Shipping,Payroll Advisory,HR,Nexum EMEA,Italy,Giulia Romano,Won,25/01/2025,02/03/2025,2,2025,4649.13,EUR,Existing Business,,
P01673_2,Yardarm Shipping,Payroll Advisory,HR,Nexum EMEA,Italy,Giulia Romano,Won,25/01/2025,02/03/2025,3,2025,241.75,EUR,Existing Business,,
P00002_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/02/2025,28/02/2025,2,2025,43804.2,GBP,Existing Business,,
P00018_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Oliver Hayes,Won,01/02/2025,28/02/2025,2,2025,61938.16,GBP,Existing Business,,
P00034_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,32875.69,GBP,Existing Business,,
P00053_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,24615.43,GBP,Existing Business,,
P00069_1,Westmore Finance,HR Compliance,HR,Nexum UK,UK,Emma Clarke,Won,01/02/2025,28/02/2025,2,2025,59753.06,GBP,Existing Business,,
P00085_1,Hartwell Group,CFO Advisory,Finance,Nexum UK,UK,Emma Clarke,Won,01/02/2025,28/02/2025,2,2025,49041.27,GBP,Existing Business,,
P00104_1,Sterling Dynamics,Financial Planning,Finance,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,45470.89,GBP,Existing Business,,
P00121_1,Pennington & Co,Tax Optimization,Finance,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,4477.62,GBP,Existing Business,,
P00138_1,Blackthorn Capital,M&A Support,Finance,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,195974.63,GBP,Existing Business,,
P00157_1,Oakfield Partners,Accounting Transformation,Finance,Nexum UK,UK,Oliver Hayes,Won,01/02/2025,28/02/2025,2,2025,54946.11,GBP,Existing Business,,
P00176_1,Cromwell Partners,Brand Strategy,Marketing,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,31341.42,GBP,Existing Business,,
P00192_1,Ashford Industries,Digital Marketing,Marketing,Nexum UK,UK,Emma Clarke,Won,01/02/2025,28/02/2025,2,2025,64739.7,GBP,Existing Business,,
P00209_1,Devlin & Sons,Market Research,Marketing,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,47955.57,GBP,Existing Business,,
P00225_1,Kingsford Capital,Sales Enablement,Marketing,Nexum UK,UK,Emma Clarke,Won,01/02/2025,28/02/2025,2,2025,34484.17,GBP,Existing Business,,
P00242_1,Whitmore Consulting,Customer Experience,Marketing,Nexum UK,UK,James Thornton,Won,01/02/2025,28/02/2025,2,2025,20914.8,GBP,Existing Business,,
P00548_1,Dalton Manufacturing,Recruitment,HR,Nexum EMEA,Germany,Stefan Krause,Won,01/02/2025,28/02/2025,2,2025,12114.74,EUR,Existing Business,,
P00564_1,Ironside Tech,Training & Development,HR,Nexum EMEA,Germany,Stefan Krause,Won,01/02/2025,28/02/2025,2,2025,57627.15,EUR,Existing Business,,
P00580_1,Northfield Construction,HR Transformation,HR,Nexum EMEA,Germany,Stefan Krause,Won,01/02/2025,28/02/2025,2,2025,38678.51,EUR,Existing Business,,
P00597_1,Solaris Energy,Payroll Advisory,HR,Nexum EMEA,Germany,Tom Becker,Won,01/02/2025,28/02/2025,2,2025,9230.55,EUR,Existing Business,,
P00613_1,Xero Dynamics,HR Compliance,HR,Nexum EMEA,Germany,Luisa Meier,Won,01/02/2025,28/02/2025,2,2025,18302.26,EUR,Existing Business,,
P00629_1,Bergmann GmbH,CFO Advisory,Finance,Nexum EMEA,Germany,Luisa Meier,Won,01/02/2025,28/02/2025,2,2025,109986.49,EUR,Existing Business,,
P00648_1,Kessler Industries,Financial Planning,Finance,Nexum EMEA,Germany,Stefan Krause,Won,01/02/2025,28/02/2025,2,2025,27395.65,EUR,Existing Business,,
